X,Y,Z
-0.07063000,0.04015000,0.00122600
-0.07089100,0.04032600,0.00282800
-0.07105300,0.04057000,0.00577400
-0.07102200,0.04081900,0.00705100
-0.07047400,0.04088400,0.00781800
-0.06977700,0.04091200,0.00855100
-0.06577500,0.04101900,0.01305100
-0.06499700,0.04103400,0.01368900
-0.06420100,0.04104200,0.01430900
-0.06104400,0.04003300,0.02271100
-0.06200100,0.04013700,0.02370700
-0.06356200,0.04031300,0.02570800
-0.06427300,0.04040800,0.02667800
-0.06463700,0.04045600,0.02766600
-0.06502300,0.04053900,0.02866200
-0.06588000,0.04018500,0.03445000
-0.06578000,0.04031000,0.03567400
-0.06545700,0.04039500,0.03672500
-0.06509300,0.04046800,0.03776800
-0.06466600,0.04053600,0.03874200
-0.06318000,0.04068800,0.04151000
-0.06267700,0.04074500,0.04241200
-0.06200300,0.04077700,0.04314800
-0.06122500,0.04078900,0.04378900
-0.05649100,0.04002600,0.04687600
-0.05548700,0.04003200,0.04697100
-0.05449900,0.04003300,0.04696500
-0.05234100,0.04020900,0.04656700
-0.05136300,0.04025300,0.04626100
-0.04547100,0.04047200,0.04422100
-0.04354500,0.04054200,0.04350600
-0.03750900,0.04073500,0.04418600
-0.03690700,0.04077300,0.04499100
-0.03400200,0.04097100,0.04916200
-0.03333900,0.04100500,0.04992100
-0.03256900,0.04102200,0.05057900
-0.02547200,0.04007700,0.05414100
-0.02423400,0.04016800,0.05418400
-0.02306400,0.04024100,0.05412400
-0.01614900,0.04050400,0.05185800
-0.01224100,0.04065600,0.05049800
-0.01025900,0.04073800,0.04984500
-0.00224800,0.04108100,0.04738400
-0.00128100,0.04111400,0.04702800
0.00514300,0.04007400,0.04575100
0.00624400,0.04013700,0.04562700
0.00959800,0.04033900,0.04519000
0.02220700,0.04030500,0.04031000
0.02619300,0.04027500,0.03223800
0.02748500,0.04002400,0.03015700
0.03089500,0.04001100,0.02721400
0.03971600,0.04004500,0.02170200
0.04224600,0.04033500,0.01830000
0.04321700,0.04017200,0.01306800
0.04307400,0.04016600,0.00739100
0.03798400,0.04062100,-0.00115400
0.03142100,0.04151400,-0.00377000
0.02642900,0.04003800,-0.00421000
0.02543300,0.04006500,-0.00462900
0.02232100,0.04025300,-0.00770600
0.02084800,0.04006500,-0.01170200
0.02046600,0.04002000,-0.01370200
0.02032500,0.04001400,-0.01469900
0.01637800,0.04030500,-0.02167400
0.00941200,0.04039200,-0.02330000
0.00840700,0.04040400,-0.02340100
0.00640900,0.04042400,-0.02365400
0.00340700,0.04046500,-0.02413800
-0.00660000,0.04059500,-0.02586300
-0.01059800,0.04061400,-0.02627800
-0.01160100,0.04062500,-0.02637300
-0.01460500,0.04068600,-0.02711700
-0.02059900,0.04081800,-0.02868900
-0.02161000,0.04083300,-0.02887100
-0.02261100,0.04084000,-0.02897600
-0.02952100,0.04020400,-0.02983000
-0.03480200,0.04019400,-0.02979200
-0.03945700,0.04037600,-0.02730400
-0.04059100,0.04049000,-0.02629700
-0.04364000,0.04082000,-0.02230100
-0.04415300,0.04087900,-0.02130200
-0.04440700,0.04090800,-0.02030400
-0.05154100,0.04034800,-0.01108400
-0.05256100,0.04035400,-0.01091400
-0.05354200,0.04029500,-0.01060600
-0.05852800,0.04009200,-0.00880200
-0.05953500,0.04006200,-0.00844400
-0.06151000,0.04063000,-0.00752300
-0.06656700,0.04045300,-0.00528600
-0.06728000,0.04059100,-0.00423100
-0.05503900,0.05730900,0.01699000
-0.04004400,0.15362000,-0.00816600
-0.03102600,0.15372799,-0.00354600
-0.07045400,0.15058500,-0.04345800
-0.02215600,0.15742600,-0.00647100
-0.06774500,0.14908400,-0.03550300
-0.06784100,0.14363401,-0.01393300
-0.06316600,0.15216801,-0.03129800
-0.06484300,0.15982600,-0.05677300
-0.06300200,0.14588501,-0.01186100
-0.02340200,0.15731700,-0.00834700
-0.06439400,0.15704000,-0.04610500
-0.01199400,0.16759001,-0.02259400
-0.06620300,0.15449500,-0.05055000
-0.07038300,0.15159200,-0.04507400
-0.06275600,0.15241501,-0.03014600
-0.05091300,0.14422099,0.00040200
-0.02746900,0.15520801,-0.00473900
-0.03933800,0.14935900,-0.00118800
-0.04490100,0.14873900,-0.00386300
-0.04494500,0.14663801,-0.00064700
-0.02272000,0.16268200,-0.01536300
-0.06683800,0.14494500,-0.01855400
-0.06627000,0.14708000,-0.02586800
-0.03287800,0.15659100,-0.01079900
-0.06678200,0.14845000,-0.03182500
-0.06409600,0.14766000,-0.02199400
-0.06078300,0.17127600,-0.06091600
-0.06770700,0.14712700,-0.02731200
-0.06918400,0.15218300,-0.04671100
-0.03186300,0.15527500,-0.00893800
-0.06621000,0.14855200,-0.03086900
-0.06420200,0.15543100,-0.04138500
-0.06455600,0.15154500,-0.03456700
-0.02863100,0.15919299,-0.01286100
-0.07141800,0.14310899,-0.01042700
-0.06389700,0.15007500,-0.02881600
-0.06594200,0.14940099,-0.03286900
-0.06448100,0.15754400,-0.04927700
-0.06483300,0.15326300,-0.03908900
-0.06443900,0.15795200,-0.05261700
-0.03556100,0.15178500,-0.00432800
-0.05588000,0.13803899,-0.00386600
-0.06594700,0.15195400,-0.03939900
-0.06586400,0.14158200,-0.00840100
-0.06601200,0.15389600,-0.04755800
-0.03500000,0.15720899,-0.01122000
-0.03013400,0.15606500,-0.00950600
-0.04136400,0.15028401,-0.00509800
-0.06529600,0.14793199,-0.02710400
-0.06537400,0.14951700,-0.03191100
-0.06696500,0.14709100,-0.02663100
-0.06385900,0.15910099,-0.05328400
-0.06818900,0.15036000,-0.04155700
-0.06467900,0.15859200,-0.05550000
-0.02445200,0.16187000,-0.01480400
-0.06654400,0.14264700,-0.01073700
-0.03367000,0.15560400,-0.00983700
-0.05227000,0.14139099,0.00017300
-0.06705400,0.15356700,-0.04950400
-0.06289300,0.14687499,-0.01359300
-0.06413900,0.14350399,-0.01052400
-0.02092900,0.15808800,-0.00822100
-0.04749300,0.14697500,-0.00223500
-0.03495100,0.15188400,-0.00344800
-0.06656700,0.14777701,-0.02876500
-0.06686100,0.15001801,-0.03663200
-0.06712600,0.15069200,-0.03960900
-0.06575100,0.15427400,-0.04621200
-0.03290300,0.15345500,-0.00604200
-0.03273300,0.15540799,-0.00943800
-0.01584400,0.16311800,-0.01624800
-0.06118300,0.14629801,-0.00395500
-0.04661500,0.14576600,-0.00017800
-0.03962300,0.15002701,-0.00409800
-0.05301900,0.14142101,-0.00050400
-0.06813000,0.14840300,-0.03337700
-0.06306800,0.16114600,-0.05575500
-0.06356300,0.14734100,-0.01765700
-0.06814400,0.14437200,-0.01682600
-0.01861300,0.16152200,-0.01437200
-0.04042000,0.15008700,-0.00469400
-0.03722100,0.15089899,-0.00386600
-0.06214000,0.16366500,-0.05679700
-0.00929500,0.17028999,-0.02584800
-0.06436900,0.14987700,-0.02987400
-0.06407500,0.15173499,-0.03350800
-0.02047000,0.16083001,-0.01362200
-0.02240900,0.15809000,-0.00961700
-0.04656300,0.14677700,-0.00183600
-0.03536000,0.15262599,-0.00619700
-0.07071000,0.14983600,-0.04142500
-0.06520200,0.15399800,-0.04197200
-0.05073300,0.14796500,-0.00270600
-0.06547100,0.15763500,-0.05453400
-0.04197800,0.15295400,-0.00736200
-0.02963000,0.15945400,-0.01315500
-0.04875900,0.14421000,0.00252100
-0.03154300,0.15351500,-0.00448800
-0.05205500,0.14289400,0.00008300
-0.00924300,0.16914099,-0.02442200
-0.06504400,0.15490800,-0.04370900
-0.02690800,0.16000199,-0.01340200
-0.06351100,0.15291999,-0.03409600
-0.06644400,0.15176100,-0.04046400
-0.06343900,0.14458799,-0.01138300
-0.06367400,0.14260300,-0.00787800
-0.06338500,0.14824300,-0.01957600
-0.06822400,0.14286301,-0.01181000
-0.04489600,0.14612301,0.00263000
-0.02060900,0.16204900,-0.01496200
-0.05132000,0.14286900,0.00077100
-0.06410300,0.14130700,-0.00745600
-0.03623900,0.15174399,-0.00510500
-0.01548700,0.16782200,-0.02108400
-0.02444500,0.15655200,-0.00701200
-0.04375400,0.15225400,-0.00662200
-0.06305500,0.14857499,-0.01823600
-0.01878400,0.15955099,-0.01097800
-0.06760500,0.14189699,-0.00935200
-0.02840700,0.15685900,-0.01006500
-0.01617600,0.16558699,-0.01883500
-0.06379600,0.14538300,-0.01417900
-0.06150200,0.16983999,-0.06153800
-0.02239600,0.16130200,-0.01430200
-0.06472700,0.15668701,-0.04745000
-0.06369000,0.14636900,-0.01591600
-0.06327600,0.14661200,-0.01475900
-0.06714100,0.14567800,-0.02144500
-0.06323200,0.14965600,-0.02468400
-0.06670500,0.14638001,-0.02365600
-0.02623200,0.15581000,-0.00635800
-0.06133500,0.17131500,-0.06173400
-0.06895200,0.14445400,-0.01741400
-0.04639900,0.15055899,-0.00488100
-0.07002900,0.14319000,-0.01269400
-0.01295700,0.16351600,-0.01668700
-0.06350800,0.14883199,-0.02266800
-0.02143200,0.15891300,-0.01084100
-0.06273500,0.15088201,-0.02525700
-0.03745400,0.15538900,-0.00975300
-0.03358700,0.15446299,-0.00838800
-0.03036900,0.15417600,-0.00601400
-0.06378700,0.15567800,-0.04023200
-0.06721600,0.14777499,-0.02961300
-0.07252300,0.14359701,-0.01041600
-0.02672800,0.15662099,-0.00899700
-0.04760700,0.14491799,0.00107000
-0.06337400,0.16080000,-0.05700600
-0.06300800,0.14267400,-0.00705700
-0.06506600,0.15136901,-0.03562200
-0.06466800,0.15519600,-0.04254000
-0.06623200,0.14347000,-0.01276300
-0.06274700,0.14889300,-0.01697600
-0.02575300,0.15747599,-0.01021400
-0.05038400,0.14158300,0.00270900
-0.06782800,0.13923700,-0.00787300
-0.06712900,0.14917600,-0.03463300
-0.06558200,0.15370600,-0.04313700
-0.06290400,0.15148801,-0.02833100
-0.02762600,0.15572999,-0.00786600
-0.02591100,0.15975299,-0.01309100
-0.05064500,0.14289901,0.00154900
-0.06305700,0.15312999,-0.03302900
-0.06856400,0.14567700,-0.02290000
-0.06619100,0.15259100,-0.04246200
-0.03898400,0.15330000,-0.00797500
-0.03326800,0.15271001,-0.00392700
-0.07123200,0.15100101,-0.04370000
-0.06758000,0.14497200,-0.01923300
-0.06973000,0.14684200,-0.02621900
-0.06880200,0.14651901,-0.02585200
-0.06871400,0.14376900,-0.01442300
-0.03546000,0.15484700,-0.00919500
-0.06492700,0.15582600,-0.04552600
-0.04714600,0.14948100,-0.00404800
-0.02813300,0.15510100,-0.00344000
-0.06473000,0.15421499,-0.04082000
-0.06917000,0.14729300,-0.02865600
-0.06456800,0.14745700,-0.02305800
-0.02311300,0.15917200,-0.01189900
-0.03889700,0.15005200,-0.00339100
-0.04840800,0.14497399,0.00047100
-0.06395300,0.14443500,-0.01235600
-0.06356700,0.15989400,-0.05526500
-0.04948900,0.14312500,0.00338400
-0.06523300,0.14586900,-0.01892500
-0.03035900,0.15840501,-0.01229400
-0.06509200,0.14262900,-0.00933500
-0.06581900,0.15478200,-0.04938200
-0.06473900,0.15759900,-0.05387000
-0.02932300,0.15596700,-0.00892400
-0.06559100,0.15120199,-0.03660300
-0.07251800,0.14458500,-0.01590200
-0.06668500,0.14170600,-0.00893500
-0.04849200,0.14723000,-0.00252500
-0.06341900,0.15027000,-0.02775500
-0.03440400,0.15202799,-0.00248600
-0.07120700,0.14661600,-0.02403000
-0.05237800,0.13821600,-0.00008500
-0.04216500,0.14930101,-0.00412200
-0.06836700,0.14718600,-0.02806700
-0.04410000,0.14975800,-0.00480800
-0.05459700,0.13994800,-0.00193800
-0.04455600,0.15122899,-0.00569000
-0.05028300,0.14649500,-0.00183300
-0.07108900,0.14348900,-0.01289900
-0.02550700,0.16217899,-0.01501000
-0.05155500,0.14136600,0.00088000
-0.02384300,0.16302501,-0.01551000
-0.06476900,0.14808699,-0.02613900
-0.03963400,0.15110300,-0.00565900
-0.02518900,0.15657599,-0.00769100
-0.06740300,0.14434500,-0.01614800
-0.01408000,0.16602600,-0.01997300
-0.02132900,0.15991400,-0.01254300
-0.01958300,0.15960000,-0.01158100
-0.06689800,0.15154199,-0.04152900
-0.04376000,0.14692700,0.00133600
-0.06435300,0.14258599,-0.00864900
-0.01023400,0.16932200,-0.02492500
-0.02140200,0.16104800,-0.01399900
-0.04230600,0.15049601,-0.00548500
-0.04699000,0.14500199,0.00194100
-0.06573000,0.15027700,-0.03478200
-0.06991000,0.14964999,-0.04096600
-0.06227300,0.14430900,-0.00616100
-0.01122900,0.17350200,-0.02786400
-0.06571600,0.14722000,-0.02490200
-0.06287200,0.14791501,-0.01523500
-0.07151800,0.15013801,-0.04174800
-0.06967000,0.14899001,-0.03799500
-0.06740500,0.14058501,-0.00814900
-0.06909100,0.14300001,-0.01230100
-0.06578100,0.15284200,-0.04130600
-0.06561500,0.14866699,-0.02999100
-0.06450500,0.15255301,-0.03620400
-0.06359700,0.15192699,-0.03244800
-0.03187900,0.15635601,-0.01048100
-0.03703000,0.15178500,-0.00571400
-0.01062800,0.17451800,-0.02867500
-0.06703400,0.15463200,-0.05109600
-0.01086100,0.16610999,-0.02097000
-0.06937000,0.14575800,-0.02348500
-0.06258400,0.16238301,-0.05633100
-0.02662000,0.15761399,-0.01071000
-0.06280400,0.14411400,-0.00718000
-0.06754400,0.15190800,-0.04566400
-0.06728600,0.15125600,-0.04269300
-0.06498700,0.15235400,-0.03726800
-0.06371900,0.14793800,-0.02083300
-0.06390600,0.15870100,-0.04994500
-0.01773200,0.16029300,-0.01233700
-0.05012400,0.14416100,0.00100200
-0.02842500,0.15795000,-0.01159700
-0.06545200,0.15656100,-0.05302000
-0.03114900,0.15739299,-0.01135400
-0.07134400,0.14453100,-0.01561100
-0.06782300,0.15109000,-0.04366700
-0.01499000,0.16517299,-0.01880200
-0.04128900,0.14915299,-0.00363400
-0.02839700,0.15579300,-0.00852300
-0.01875000,0.16274600,-0.01570500
-0.04922100,0.14508900,-0.00009400
-0.06419200,0.15833700,-0.05128500
-0.06764200,0.15050299,-0.04058900
-0.05141200,0.14684200,-0.00193800
-0.06467600,0.14600299,-0.01796100
-0.02618000,0.16105300,-0.01424900
-0.02518600,0.16079500,-0.01395700
-0.05319400,0.13993099,-0.00045600
-0.02325700,0.16032800,-0.01327200
-0.06393200,0.14704899,-0.01890900
-0.06602600,0.14640900,-0.02288200
-0.01180700,0.16636200,-0.02133800
-0.07036600,0.14254400,-0.01049300
-0.04434700,0.14675499,0.00022600
-0.06531700,0.15601100,-0.04994900
-0.07026900,0.14634900,-0.02389900
-0.06703800,0.14355101,-0.01334700
-0.06982300,0.14458901,-0.01790200
-0.02749500,0.15776500,-0.01119100
-0.06287400,0.16154701,-0.05443000
-0.04814500,0.14427000,0.00342000
-0.03821200,0.15007100,-0.00262100
-0.06744200,0.14838400,-0.03261100
-0.06186600,0.16561900,-0.06007700
-0.06361700,0.14938200,-0.02592700
-0.05383100,0.13820501,-0.00152000
-0.01974500,0.16302501,-0.01597600
-0.01591000,0.16429999,-0.01765600
-0.06612800,0.15307300,-0.04575400
-0.01576500,0.16196799,-0.01480400
-0.01954900,0.16175200,-0.01474000
-0.06482900,0.14966001,-0.03094500
-0.06107200,0.14452900,-0.00434400
-0.01674600,0.16113099,-0.01356900
-0.06832200,0.14499900,-0.01991200
-0.06428800,0.14828700,-0.02507400
-0.02684900,0.15536800,-0.00477200
-0.06525700,0.15301199,-0.04024500
-0.06227200,0.16320699,-0.05821400
-0.06320700,0.14389201,-0.00837000
-0.03566500,0.15612100,-0.01042600
-0.06333900,0.16030200,-0.05385700
-0.06473500,0.15714800,-0.05070700
